0,Room Service|Internet Access|Restaurant|doctor on call|EDLC|laundry|Lobby|parking available|garden|Dance Performances (on demand)|Catering|multilingual staff|wake up call|Suitable For Children|kitchen|Open Air Restaurant |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|car rental|taxi service|Food Facility|free internet access|children's playground|Postal / Parcel Services| Cook Services|Air / Rail Booking|courier service|Guide / Sightseeing Service|fax/photocopying|RO Water Purification System|parking available|Internet Access|Restaurant|Room Service|Fire Exit Signs|Full Time Operation for All 7 Days|porter|Security at All Hotel Entrances|Suites
1,Room Service|gym|airport shuttle|/ Surcharge|Banquet Facilities|Business Center |Currency Exchange|Doctor on Call|health club/gym |laundry|lift|Lobby|parking available|Front Desk|Locker Facility|Major Credit Cards Accepted|24/7 front desk|Luggage Storage|power
2,Restaurant|swimming pool|Bar / Lounge |laundry|Multi Cuisine Restaurant
4,Internet Access|RestaurantInternet Access - Surcharge|laundry|parking available|Multi Cuisine Restaurant |Local Tour / Travel Desk|Medical Assistance Available|power
5,Room Service|airport shuttle| |Internet Access - Surcharge|laundry|Lobby|non-smoking room|parking available|Front Desk|Locker Facility|24/7 front desk|Doorman|power|Newspapers In Lobby|family room|24/7 room service
7,Room Service|Internet Access|Restaurant|banquet facilities|barbeque|Business Center |Concierge|Currency Exchange|Doctor on Call|EDLC|laundry|lift|Lobby|non-smoking room|parking available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Local Tour / Travel Desk|Major Credit Cards Accepted|24/7 front desk|Luggage Storage|Doorman|Medical Assistance Available|air conditioning|Welcome Drinks|power|audio visual equipment|multilingual staff|wake up call|Suitable For Children|Separate Sitting Area|Coffee Shop / Cafe|conference facility |ATM / Banking|Veranda|Open Air Restaurant |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|car rental|EDLC|Water Dispenser Available|taxi service|conference facility|Rooftop Garden|Food Facility| Drivers Rest Room|free internet access|Newspapers In Lobby|family room|24/7 room service|STD / ISD|Baggage Room|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|parking available|Internet Access|Restaurant|Room Service|CCTV|Full Time Operation for All 7 Days|Paid Transfers|Pest Control Facility|Public Restrooms|Stamps and Mailing Facility
10,Room Service|business center|Doctor on Call|EDLC|laundry|parking available|Welcome Drinks|power|garden|conference facility |kitchen|car rental|conference facility|free internet access|Newspapers In Lobby|children's playground| Cook Services|parking available|Room Service
15,Room Service|Internet Access|internet access surcharge|laundry|lift|parking available|Front Desk|Locker Facility|power|free internet access|24/7 room service|Outdoor Parking - Secured
16,Room Service|Internet AccessBanquet Facilities|Doctor on Call|Internet Access - Surcharge|laundry|lift|Lobby|parking available|Front Desk|Locker Facility|Major Credit Cards Accepted|Doorman|wake up call|car rental|Guide / Sightseeing Service|Room Service
18,Room Service|doctor on call|laundry|lift|parking available|Front Desk|power|Campfire / Bon Fire|free internet access|Outdoor Parking - Secured|Room Service|First-Aid Kit at Front Desk|Public Restrooms|restaurant |Suites
21,Room ServiceBusiness Center |Doctor on Call|laundry|24/7 front desk|power|Room Service|CCTV
22,Room Service|RestaurantDoctor on Call|laundry|parking available|Front Desk|Multi Cuisine Restaurant |power|garden|Room Service
23,Room Service|RestaurantBusiness Center |laundry|Lobby|parking available|Front Desk|Multi Cuisine Restaurant |24/7 front desk|power|garden|24/7 room service|STD / ISD|parking available
24,Room Service|Restaurant|doctor on call|laundry|parking available|Front Desk|Local Tour / Travel Desk|garden|Picnic Area|Open Air Restaurant | Bike on Rent|Vegetarian Food / Jain Food Available|taxi service|Campfire / Bon Fire|free internet access|Outdoor Parking - Secured|Restaurant|Room Service
29,Room Service|Internet Access|airport shuttle/ Surcharge|Business Center |Concierge|Doctor on Call|EDLC|Internet Access - Surcharge|laundry|lift|Lobby|parking available|Front Desk|Locker Facility|Local Tour / Travel Desk|24/7 front desk|Medical Assistance Available|power|garden|Smoking Area |shopping |free internet access|Newspapers In Lobby|airport shuttle Free|Outdoor Parking - Secured|parking available
30,Room Service|Internet Access|Restaurant|banquet facilities|Business Center |Doctor on Call|laundry|Lobby|parking available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted|24/7 front desk|Medical Assistance Available|Welcome Drinks|power|garden|Catering|Suitable For Children|Grocery|conference facility |kitchen|massage  |Discotheque | Bike on Rent|Veg / Non Veg Kitchens Separate |In House Events |Vegetarian Food / Jain Food Available|City Shuttle Service|Campfire / Bon Fire|Food Facility|free internet access|Newspapers In Lobby|24/7 room service|spa| Cook Services|Air / Rail Booking|Internet / fax/photocopying|Outdoor Parking - Secured|parking available
31,Room Service|Internet Access|Gym/Spa|Restaurant|airport shuttle/ Surcharge|Bar / Lounge |health club/gym |Internet Access - Surcharge|laundry|lift|parking available|Front Desk|Multi Cuisine Restaurant |Locker Facility|power|free internet access|24/7 room service|Outdoor Parking - Secured|parking available
33,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant|swimming pool|airport shuttle surage|Banquet Facilities|Business Center |Currency Exchange|Doctor on Call|EDLC|health club/gym |Internet Access - Surcharge|lift|Lobby|parking available|Front Desk|Multi Cuisine Restaurant |Locker Facility|spa|Local Tour / Travel Desk|Major Credit Cards Accepted|24/7 front desk|air conditioning|Welcome Drinks|power|express check-in/check-out / Check-Out|garden|wake up call|Separate Sitting Area|Coffee Shop / Cafe|Electronic / Magnetic Keys|fire place  |wheelchair access|pick and drop|Vegetarian Food / Jain Food Available|Village Visit ( Chargeable )|car rental|taxi service|Food Facility|free internet access|Newspapers In Lobby|Party hall|Air / Rail Booking|Baggage Room|Guide / Sightseeing Service|Adjoining Rooms|Outdoor Parking - Secured|parking available
34,Room Service|Swimming Pool|RestaurantSwimming Pool|Bar / Lounge |Doctor on Call|EDLC|laundry|Multi Cuisine Restaurant |Sauna|conference facility
35,Room Service|RestaurantDoctor on Call|EDLC|laundry|Lobby|parking available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Coffee Shop / Cafe|children's playground|24/7 room service
36,Room Service|Internet Accessairport shuttle surage|Internet Access - Surcharge|laundry|parking available|Front Desk|Locker Facility|Luggage Storage|power|smoking room|kitchen| Bike on Rent|car rental|taxi service|Food Facility|spa| Cook Services|Baggage Room|Outdoor Parking - Non Secured|parking available|Room Service|CCTV
39,Room Service|Swimming Pool|RestaurantSwimming Pool|beauty salon|billiards|Bowling|Doctor on Call|Games Zone|laundry|Lobby|parking available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Non Smoking Hotel|spa|Table Tennis|24/7 front desk|Doorman|Medical Assistance Available|Welcome Drinks|power|garden|audio visual equipment|Catering|porter|Suitable For Children|Separate Sitting Area|Coffee Shop / Cafe|conference facility |kitchen|Multi - Line Phone|Pool Table|Discotheque |Clubhouse|Open Air Restaurant |Fun Floats|Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|car rental|taxi service|conference facility|Food Facility|Newspapers In Lobby|Postal / Parcel Services|24/7 room service|spa| Cook Services|Air / Rail Booking|courier service|Outdoor Parking - Secured|parking available|Restaurant|Room Service|Fire Exit Signs|Full Time Operation for All 7 Days|porter|Public Restrooms|restaurant |Suites
43,Room Service|parking|Front Desk|free internet access|24/7 room service|parking available
44,Room Service|EDLC|lift|parking available|Front Desk|Locker Facility|power|Transfers Available|free internet access|24/7 room service|Outdoor Parking - Secured|parking available|Room Service|restaurant
48,Internet AccessDoctor on Call|Internet Access - Surcharge|parking available
49,Room Service|EDLC|lift|parking available|Front Desk|Locker Facility|power|multilingual staff|kitchen|Vegetarian Food / Jain Food Available|Food Facility|free internet access|Party hall|Outdoor Parking - Secured|parking available|Room Service|Suites
